sentence,label,source,length,clean_sentence,clean_length,preprocessed
this is the worst sushi i have ever eat besides Costco's.,0,yelp,11,worst sushi ever eat besides costcos,6,worst sushi ever eat besides costcos
disappointing.,0,amazon,1,disappointing,1,disappointing
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,0,yelp,17,definitely turn doubt ill back unless someone else buying,9,definitely turn doubt ill back unless someone else buying
My salad had a bland vinegrette on the baby greens and hearts of Palm.,0,yelp,14,salad bland vinegrette baby greens hearts palm,7,salad bland vinegrette baby greens hearts palm
And generally the lines and plot is weaker than the average episode.  ,0,imdb,12,generally lines plot weaker average episode,6,generally lines plot weaker average episode
His acting alongside Olivia De Havilland was brilliant and the ending was fantastic!  ,1,imdb,13,acting alongside olivia de havilland brilliant ending fantastic,8,acting alongside olivia de havilland brilliant ending fantastic
Service stinks here!,0,yelp,3,service stinks,2,service stinks
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,yelp,22,potatoes like rubber could tell made ahead time kept warmer,10,potatoes like rubber could tell made ahead time kept warmer
I received it quickly and it works great!!,1,amazon,8,received quickly works great,4,received quickly works great
My husband said she was very rude... did not even apologize for the bad food or anything.,0,yelp,17,husband said rude even apologize bad food anything,8,husband said rude even apologize bad food anything
That was nice.  ,1,imdb,3,nice,1,nice
"The biggest complaint I have is, the battery drains superfast.",0,amazon,10,biggest complaint battery drains superfast,5,biggest complaint battery drains superfast
Any ring tone..Overall good phone to buy..,1,amazon,7,ring toneoverall good phone buy,5,ring toneoverall good phone buy
In particular the relationship between the bakery assistant and the waitress just didn't work for me at all.  ,0,imdb,18,particular relationship bakery assistant waitress didnt work,7,particular relationship bakery assistant waitress didnt work
"If you see it, you should probably just leave it on the shelf.  ",0,imdb,13,see probably leave shelf,4,see probably leave shelf
This is one of the worst Sandra Bullock movie since Speed 2 But not quite that bad.  ,0,imdb,17,one worst sandra bullock movie since speed 2 quite bad,10,one worst sandra bullock movie since speed 2 quite bad
I found a six inch long piece of wire in my salsa.,0,yelp,12,found six inch long piece wire salsa,7,found six inch long piece wire salsa
5 stars for the brick oven bread app!,1,yelp,8,5 stars brick oven bread app,6,5 stars brick oven bread app
The cinematography is simply stunning (to say the least) and the fx are nothing if not state-of-the-art.  ,1,imdb,17,cinematography simply stunning say least fx nothing stateoftheart,8,cinematography simply stunning say least fx nothing stateoftheart
"The film gives meaning to the phrase, ""Never in the history of human conflict has so much been owed by so many to so few.  ",1,imdb,25,film gives meaning phrase never history human conflict much owed many,11,film gives meaning phrase never history human conflict much owed many
"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",1,amazon,19,would definitely recommend jabra bt250v looking comfort clarity great price,10,would definitely recommend jabra bt250v looking comfort clarity great price
"I particularly remember my senses being assaulted by strident cords of music that would blare out with very little warning, and even less meaning.  ",0,imdb,24,particularly remember senses assaulted strident cords music would blare little warning even less meaning,14,particularly remember senses assaulted strident cords music would blare little warning even less meaning
"It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.",0,amazon,23,feels poorly constructed menus difficult navigate buttons recessed difficult push,10,feels poorly constructed menus difficult navigate buttons recessed difficult push
"But above all the exquisite visual composition of each moment, with inventive and elegant use of close-up, camera angle and lighting, including pointillistic faux home movie footage, is a wonder and joy to behold.  ",1,imdb,34,exquisite visual composition moment inventive elegant use closeup camera angle lighting including pointillistic faux home movie footage wonder joy behold,20,exquisite visual composition moment inventive elegant use closeup camera angle lighting including pointillistic faux home movie footage wonder joy behold
They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.,1,amazon,21,around years carries highest quality antiglare screen protector found date,10,around years carries highest quality antiglare screen protector found date
It was packed!!,0,yelp,3,packed,1,packed
I have yet to run this new battery below two bars and that's three days without charging.,1,amazon,17,yet run new battery two bars thats three days without charging,11,yet run new battery two bars thats three days without charging
"bad fit, way too big.",0,amazon,5,bad fit way big,4,bad fit way big
disappointed.,0,amazon,1,disappointed,1,disappointed
"Love the margaritas, too!",1,yelp,4,love margaritas,2,love margaritas
Juano Hernandez (an exceptional actor who played supporting roles in many films of the era) is a proud black man who is accused of murdering a white man in the South.  ,1,imdb,31,juano hernandez exceptional actor played supporting roles many films era proud black man accused murdering white man south,18,juano hernandez exceptional actor played supporting roles many films era proud black man accused murdering white man south
The story line is just awful!  ,0,imdb,6,story line awful,3,story line awful
Service was very prompt.,1,yelp,4,service prompt,2,service prompt
The plug did not work very well.,0,amazon,7,plug work well,3,plug work well
Used and dirty.,0,amazon,3,used dirty,2,used dirty
Tom Wilkinson broke my heart at the end... and everyone else's judging by the amount of fumbling for hankies and hands going up to faces among males and females alike.  ,1,imdb,30,tom wilkinson broke heart end everyone elses judging amount fumbling hankies hands going faces among males females alike,18,tom wilkinson broke heart end everyone elses judging amount fumbling hankies hands going faces among males females alike
Much less than the jawbone I was going to replace it with.,1,amazon,12,much less jawbone going replace,5,much less jawbone going replace
"Every time I eat here, I see caring teamwork to a professional degree.",1,yelp,13,every time eat see caring teamwork professional degree,8,every time eat see caring teamwork professional degree
"The chains, which I'm no fan of, beat this place easily.",0,yelp,11,chains im fan beat place easily,6,chains im fan beat place easily
The delivery was on time.,1,amazon,5,delivery time,2,delivery time
Won't ever go here again.,0,yelp,5,wont ever go,3,wont ever go
Cooked to perfection and the service was impeccable.,1,yelp,8,cooked perfection service impeccable,4,cooked perfection service impeccable
Update.....went back for a second time and it was still just as amazing,1,yelp,13,updatewent back second time still amazing,6,updatewent back second time still amazing
Very Dissapointing Performance.,0,amazon,3,dissapointing performance,2,dissapointing performance
I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,1,amazon,19,pleased see could replace well travled swivel holster blackberry flip,10,pleased see could replace well travled swivel holster blackberry flip
